#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=It evolves around fatigue testing of mesoscale specimens to increase damage detection sensitivity, data fusion through multimodal registration to address data heterogeneity, and image-based data-driven damage localization.
15-1	1563-1565	It	_	_	_	_	
15-2	1566-1573	evolves	_	_	_	_	
15-3	1574-1580	around	_	_	_	_	
15-4	1581-1588	fatigue	https://w3id.org/pmd/materials-mechanics-ontology/FatigueTest	*[1]	_	_	
15-5	1589-1596	testing	https://w3id.org/pmd/materials-mechanics-ontology/FatigueTest	*[1]	_	_	
15-6	1597-1599	of	_	_	_	_	
15-7	1600-1609	mesoscale	https://w3id.org/pmd/materials-mechanics-ontology/FatigueTestSpecimen	*[2]	_	_	
15-8	1610-1619	specimens	https://w3id.org/pmd/materials-mechanics-ontology/FatigueTestSpecimen	*[2]	_	_	
15-9	1620-1622	to	_	_	_	_	
15-10	1623-1631	increase	_	_	_	_	
15-11	1632-1638	damage	https://w3id.org/pmd/materials-mechanics-ontology/Damage	*	_	_	
15-12	1639-1648	detection	_	_	_	_	
15-13	1649-1660	sensitivity	_	_	_	_	
15-14	1660-1661	,	_	_	_	_	
15-15	1662-1666	data	https://w3id.org/pmd/materials-mechanics-ontology/DataTransformationProcess	*[3]	_	_	
15-16	1667-1673	fusion	https://w3id.org/pmd/materials-mechanics-ontology/DataTransformationProcess	*[3]	_	_	
15-17	1674-1681	through	_	_	_	_	
15-18	1682-1692	multimodal	https://w3id.org/pmd/materials-mechanics-ontology/DataTransformationProcess	*[4]	_	_	
15-19	1693-1705	registration	https://w3id.org/pmd/materials-mechanics-ontology/DataTransformationProcess	*[4]	_	_	
15-20	1706-1708	to	_	_	_	_	
15-21	1709-1716	address	_	_	_	_	
15-22	1717-1721	data	https://w3id.org/pmd/materials-mechanics-ontology/DataSet	*	_	_	
15-23	1722-1735	heterogeneity	_	_	_	_	
15-24	1735-1736	,	_	_	_	_	
15-25	1737-1740	and	_	_	_	_	
15-26	1741-1752	image-based	_	_	_	_	
15-26.1	1741-1746	image	https://w3id.org/pmd/materials-mechanics-ontology/DataSet	*	_	_	
15-27	1753-1764	data-driven	_	_	_	_	
15-28	1765-1771	damage	https://w3id.org/pmd/materials-mechanics-ontology/Damage	*	_	_	
15-29	1772-1784	localization	_	_	_	_	
15-30	1784-1785	.	_	_	_	_	

#Text=Resulting data sets capture the interaction of damage with microstructural features and hold the potential to unravel a mechanistic understanding.
18-1	2163-2172	Resulting	_	_	_	_	
18-2	2173-2177	data	https://w3id.org/pmd/materials-mechanics-ontology/DataSet	*[5]	_	_	
18-3	2178-2182	sets	https://w3id.org/pmd/materials-mechanics-ontology/DataSet	*[5]	_	_	
18-4	2183-2190	capture	_	_	_	_	
18-5	2191-2194	the	_	_	_	_	
18-6	2195-2206	interaction	_	_	_	_	
18-7	2207-2209	of	_	_	_	_	
18-8	2210-2216	damage	https://w3id.org/pmd/materials-mechanics-ontology/Damage	*	_	_	
18-9	2217-2221	with	_	_	_	_	
18-10	2222-2237	microstructural	https://w3id.org/pmd/materials-mechanics-ontology/MicrostructureEntity	*[6]	_	_	
18-11	2238-2246	features	https://w3id.org/pmd/materials-mechanics-ontology/MicrostructureEntity	*[6]	_	_	
18-12	2247-2250	and	_	_	_	_	
18-13	2251-2255	hold	_	_	_	_	
18-14	2256-2259	the	_	_	_	_	
18-15	2260-2269	potential	_	_	_	_	
18-16	2270-2272	to	_	_	_	_	
18-17	2273-2280	unravel	_	_	_	_	
18-18	2281-2282	a	_	_	_	_	
18-19	2283-2294	mechanistic	https://w3id.org/pmd/materials-mechanics-ontology/Mechanism	*[7]	_	_	
18-20	2295-2308	understanding	https://w3id.org/pmd/materials-mechanics-ontology/Mechanism	*[7]	_	_	
18-21	2308-2309	.	_	_	_	_	

#Text=This includes techniques such as the near-field and far-field High Energy X-ray Diffraction Microscopy (HEDM) as well as diffraction contrast tomography (DCT), which arguably can address these demands to the largest extent.
49-1	6160-6164	This	_	_	_	_	
49-2	6165-6173	includes	_	_	_	_	
49-3	6174-6184	techniques	https://w3id.org/pmd/materials-mechanics-ontology/CharacterizationProcess	*	_	_	
49-4	6185-6189	such	_	_	_	_	
49-5	6190-6192	as	_	_	_	_	
49-6	6193-6196	the	_	_	_	_	
49-7	6197-6207	near-field	https://w3id.org/pmd/materials-mechanics-ontology/CharacterizationProcess	*	_	_	
49-8	6208-6211	and	_	_	_	_	
49-9	6212-6221	far-field	https://w3id.org/pmd/materials-mechanics-ontology/CharacterizationProcess	*[8]	_	_	
49-10	6222-6226	High	https://w3id.org/pmd/materials-mechanics-ontology/CharacterizationProcess	*[8]	_	_	
49-11	6227-6233	Energy	https://w3id.org/pmd/materials-mechanics-ontology/CharacterizationProcess	*[8]	_	_	
49-12	6234-6239	X-ray	https://w3id.org/pmd/materials-mechanics-ontology/CharacterizationProcess	*[8]	_	_	
49-13	6240-6251	Diffraction	https://w3id.org/pmd/materials-mechanics-ontology/CharacterizationProcess	*[8]	_	_	
49-14	6252-6262	Microscopy	https://w3id.org/pmd/materials-mechanics-ontology/CharacterizationProcess	*[8]	_	_	
49-15	6263-6264	(	_	_	_	_	
49-16	6264-6268	HEDM	https://w3id.org/pmd/materials-mechanics-ontology/CharacterizationProcess	*	_	_	
49-17	6268-6269	)	_	_	_	_	
49-18	6270-6272	as	_	_	_	_	
49-19	6273-6277	well	_	_	_	_	
49-20	6278-6280	as	_	_	_	_	
49-21	6281-6292	diffraction	https://w3id.org/pmd/materials-mechanics-ontology/CharacterizationProcess	*[9]	_	_	
49-22	6293-6301	contrast	https://w3id.org/pmd/materials-mechanics-ontology/CharacterizationProcess	*[9]	_	_	
49-23	6302-6312	tomography	https://w3id.org/pmd/materials-mechanics-ontology/CharacterizationProcess	*[9]	_	_	
49-24	6313-6314	(	_	_	_	_	
49-25	6314-6317	DCT	https://w3id.org/pmd/materials-mechanics-ontology/CharacterizationProcess	*	_	_	
49-26	6317-6318	)	_	_	_	_	
49-27	6318-6319	,	_	_	_	_	
49-28	6320-6325	which	_	_	_	_	
49-29	6326-6334	arguably	_	_	_	_	
49-30	6335-6338	can	_	_	_	_	
49-31	6339-6346	address	_	_	_	_	
49-32	6347-6352	these	_	_	_	_	
49-33	6353-6360	demands	_	_	_	_	
49-34	6361-6363	to	_	_	_	_	
49-35	6364-6367	the	_	_	_	_	
49-36	6368-6375	largest	_	_	_	_	
49-37	6376-6382	extent	_	_	_	_	
49-38	6382-6383	.	_	_	_	_	

#Text=Exemplarily, the material EN 1.4003 (AISI 3Cr12), a ferritic stainless steel, is considered in this work.
85-1	11799-11810	Exemplarily	_	_	_	_	
85-2	11810-11811	,	_	_	_	_	
85-3	11812-11815	the	_	_	_	_	
85-4	11816-11824	material	_	_	_	_	
85-5	11825-11827	EN	https://w3id.org/pmd/materials-mechanics-ontology/Alloy	*[10]	_	_	
85-6	11828-11834	1.4003	https://w3id.org/pmd/materials-mechanics-ontology/Alloy	*[10]	_	_	
85-7	11835-11836	(	_	_	_	_	
85-8	11836-11840	AISI	https://w3id.org/pmd/materials-mechanics-ontology/Alloy	*[11]	_	_	
85-9	11841-11846	3Cr12	https://w3id.org/pmd/materials-mechanics-ontology/Alloy	*[11]	_	_	
85-10	11846-11847	)	_	_	_	_	
85-11	11847-11848	,	_	_	_	_	
85-12	11849-11850	a	_	_	_	_	
85-13	11851-11859	ferritic	https://w3id.org/pmd/materials-mechanics-ontology/MaterialClass	*[12]	_	_	
85-14	11860-11869	stainless	https://w3id.org/pmd/materials-mechanics-ontology/MaterialClass	*[12]	_	_	
85-15	11870-11875	steel	https://w3id.org/pmd/materials-mechanics-ontology/MaterialClass	*[12]	_	_	
85-16	11875-11876	,	_	_	_	_	
85-17	11877-11879	is	_	_	_	_	
85-18	11880-11890	considered	_	_	_	_	
85-19	11891-11893	in	_	_	_	_	
85-20	11894-11898	this	_	_	_	_	
85-21	11899-11903	work	_	_	_	_	
85-22	11903-11904	.	_	_	_	_	

#Text=In Table 1 the average values of the alloying elements are summarized.
86-1	11908-11910	In	_	_	_	_	
86-2	11911-11916	Table	_	_	_	_	
86-3	11917-11918	1	_	_	_	_	
86-4	11919-11922	the	_	_	_	_	
86-5	11923-11930	average	_	_	_	_	
86-6	11931-11937	values	_	_	_	_	
86-7	11938-11940	of	_	_	_	_	
86-8	11941-11944	the	_	_	_	_	
86-9	11945-11953	alloying	https://w3id.org/pmd/materials-mechanics-ontology/ChemicalElement	*[13]	_	_	
86-10	11954-11962	elements	https://w3id.org/pmd/materials-mechanics-ontology/ChemicalElement	*[13]	_	_	
86-11	11963-11966	are	_	_	_	_	
86-12	11967-11977	summarized	_	_	_	_	
86-13	11977-11978	.	_	_	_	_	

#Text=Planar, mesoscale fatigue specimens were produced from as-received rod material with a diameter of 21 mm, which previously underwent hot rolling, grinding, cold drawing, and annealing.
87-1	11982-11988	Planar	https://w3id.org/pmd/materials-mechanics-ontology/ShapeDescriptor	*	_	_	
87-2	11988-11989	,	_	_	_	_	
87-3	11990-11999	mesoscale	https://w3id.org/pmd/materials-mechanics-ontology/FatigueTestSpecimen	*[14]	_	_	
87-4	12000-12007	fatigue	https://w3id.org/pmd/materials-mechanics-ontology/FatigueTestSpecimen	*[14]	_	_	
87-5	12008-12017	specimens	https://w3id.org/pmd/materials-mechanics-ontology/FatigueTestSpecimen	*[14]	_	_	
87-6	12018-12022	were	_	_	_	_	
87-7	12023-12031	produced	_	_	_	_	
87-8	12032-12036	from	_	_	_	_	
87-9	12037-12048	as-received	https://w3id.org/pmd/materials-mechanics-ontology/StateDescriptor	*	_	_	
87-10	12049-12052	rod	https://w3id.org/pmd/materials-mechanics-ontology/SemiFinishedProduct	*[15]	_	_	
87-11	12053-12061	material	https://w3id.org/pmd/materials-mechanics-ontology/SemiFinishedProduct	*[15]	_	_	
87-12	12062-12066	with	_	_	_	_	
87-13	12067-12068	a	_	_	_	_	
87-14	12069-12077	diameter	https://w3id.org/pmd/materials-mechanics-ontology/Property	*	_	_	
87-15	12078-12080	of	_	_	_	_	
87-16	12081-12083	21	https://w3id.org/pmd/materials-mechanics-ontology/Value	*[16]	_	_	
87-17	12084-12086	mm	https://w3id.org/pmd/materials-mechanics-ontology/Value	*[16]	_	_	
87-18	12086-12087	,	_	_	_	_	
87-19	12088-12093	which	_	_	_	_	
87-20	12094-12104	previously	_	_	_	_	
87-21	12105-12114	underwent	_	_	_	_	
87-22	12115-12118	hot	https://w3id.org/pmd/materials-mechanics-ontology/ThermomechanicalTreatment	*[17]	_	_	
87-23	12119-12126	rolling	https://w3id.org/pmd/materials-mechanics-ontology/ThermomechanicalTreatment	*[17]	_	_	
87-24	12126-12127	,	_	_	_	_	
87-25	12128-12136	grinding	https://w3id.org/pmd/materials-mechanics-ontology/Grinding	*	_	_	
87-26	12136-12137	,	_	_	_	_	
87-27	12138-12142	cold	https://w3id.org/pmd/materials-mechanics-ontology/MechanicalTreatment	*[18]	_	_	
87-28	12143-12150	drawing	https://w3id.org/pmd/materials-mechanics-ontology/MechanicalTreatment	*[18]	_	_	
87-29	12150-12151	,	_	_	_	_	
87-30	12152-12155	and	_	_	_	_	
87-31	12156-12165	annealing	https://w3id.org/pmd/materials-mechanics-ontology/Annealing	*	_	_	
87-32	12165-12166	.	_	_	_	_	

#Text=The specimen's fabrication employed different processing steps, including electrical discharge machining to fabricate disks and laser cutting to define the specimen shape, shown in [16].
88-1	12170-12173	The	_	_	_	_	
88-2	12174-12184	specimen's	https://w3id.org/pmd/materials-mechanics-ontology/FatigueTestSpecimen	*	_	_	
88-3	12185-12196	fabrication	https://w3id.org/pmd/materials-mechanics-ontology/MachiningProcess	*	_	_	
88-4	12197-12205	employed	_	_	_	_	
88-5	12206-12215	different	_	_	_	_	
88-6	12216-12226	processing	https://w3id.org/pmd/materials-mechanics-ontology/MachiningProcess	*[19]	_	_	
88-7	12227-12232	steps	https://w3id.org/pmd/materials-mechanics-ontology/MachiningProcess	*[19]	_	_	
88-8	12232-12233	,	_	_	_	_	
88-9	12234-12243	including	_	_	_	_	
88-10	12244-12254	electrical	https://w3id.org/pmd/materials-mechanics-ontology/WireDischargeMachining	*[20]	_	_	
88-11	12255-12264	discharge	https://w3id.org/pmd/materials-mechanics-ontology/WireDischargeMachining	*[20]	_	_	
88-12	12265-12274	machining	https://w3id.org/pmd/materials-mechanics-ontology/WireDischargeMachining	*[20]	_	_	
88-13	12275-12277	to	_	_	_	_	
88-14	12278-12287	fabricate	_	_	_	_	
88-15	12288-12293	disks	https://w3id.org/pmd/materials-mechanics-ontology/ShapeDescriptor	*	_	_	
88-16	12294-12297	and	_	_	_	_	
88-17	12298-12303	laser	https://w3id.org/pmd/materials-mechanics-ontology/LaserCutting	*[21]	_	_	
88-18	12304-12311	cutting	https://w3id.org/pmd/materials-mechanics-ontology/LaserCutting	*[21]	_	_	
88-19	12312-12314	to	_	_	_	_	
88-20	12315-12321	define	_	_	_	_	
88-21	12322-12325	the	_	_	_	_	
88-22	12326-12334	specimen	https://w3id.org/pmd/materials-mechanics-ontology/TestSpecimenProperty	*[22]	_	_	
88-23	12335-12340	shape	https://w3id.org/pmd/materials-mechanics-ontology/TestSpecimenProperty	*[22]	_	_	
88-24	12340-12341	,	_	_	_	_	
88-25	12342-12347	shown	_	_	_	_	
88-26	12348-12350	in	_	_	_	_	
88-27	12351-12352	[	_	_	_	_	
88-28	12352-12354	16	_	_	_	_	
88-29	12354-12355	]	_	_	_	_	
88-30	12355-12356	.	_	_	_	_	

