#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=Training high-strength aluminum alloys to withstand fatigue
1-1	0-8	Training	https://w3id.org/pmd/materials-mechanics-ontology/MechanicalTreatment	*			
1-2	9-22	high-strength	https://w3id.org/pmd/materials-mechanics-ontology/MaterialClass	*[1]			
1-3	23-31	aluminum	https://w3id.org/pmd/materials-mechanics-ontology/MaterialClass	*[1]			
1-4	32-38	alloys	https://w3id.org/pmd/materials-mechanics-ontology/MaterialClass	*[1]			
1-5	39-41	to	_	_			
1-6	42-51	withstand	_	_			
1-7	52-59	fatigue	https://w3id.org/pmd/materials-mechanics-ontology/Mechanism	*			

#Text=The fatigue performance of high strength aluminum alloys used in planes, trains, trucks and automobiles is notoriously poor.
3-1	178-181	The	_	_			
3-2	182-189	fatigue	https://w3id.org/pmd/materials-mechanics-ontology/MechanicalProperty	*[2]			
3-3	190-201	performance	https://w3id.org/pmd/materials-mechanics-ontology/MechanicalProperty	*[2]			
3-4	202-204	of	_	_			
3-5	205-209	high	https://w3id.org/pmd/materials-mechanics-ontology/MaterialClass	*[3]			
3-6	210-218	strength	https://w3id.org/pmd/materials-mechanics-ontology/MaterialClass	*[3]			
3-7	219-227	aluminum	https://w3id.org/pmd/materials-mechanics-ontology/MaterialClass	*[3]			
3-8	228-234	alloys	https://w3id.org/pmd/materials-mechanics-ontology/MaterialClass	*[3]			
3-9	235-239	used	_	_			
3-10	240-242	in	_	_			
3-11	243-249	planes	https://w3id.org/pmd/materials-mechanics-ontology/Object	*			
3-12	249-250	,	_	_			
3-13	251-257	trains	https://w3id.org/pmd/materials-mechanics-ontology/Object	*			
3-14	257-258	,	_	_			
3-15	259-265	trucks	https://w3id.org/pmd/materials-mechanics-ontology/Object	*			
3-16	266-269	and	_	_			
3-17	270-281	automobiles	https://w3id.org/pmd/materials-mechanics-ontology/Object	*			
3-18	282-284	is	_	_			
3-19	285-296	notoriously	_	_			
3-20	297-301	poor	_	_			
3-21	301-302	.	_	_			

#Text=Engineers must design around this important limitation to use Al alloys for light-weighting of transportation structures.
4-1	306-315	Engineers	_	_			
4-2	316-320	must	_	_			
4-3	321-327	design	_	_			
4-4	328-334	around	_	_			
4-5	335-339	this	_	_			
4-6	340-349	important	_	_			
4-7	350-360	limitation	_	_			
4-8	361-363	to	_	_			
4-9	364-367	use	_	_			
4-10	368-370	Al	https://w3id.org/pmd/materials-mechanics-ontology/MaterialClass	*[4]			
4-11	371-377	alloys	https://w3id.org/pmd/materials-mechanics-ontology/MaterialClass	*[4]			
4-12	378-381	for	_	_			
4-13	382-397	light-weighting	_	_			
4-14	398-400	of	_	_			
4-15	401-415	transportation	https://w3id.org/pmd/materials-mechanics-ontology/Object	*[5]			
4-16	416-426	structures	https://w3id.org/pmd/materials-mechanics-ontology/Object	*[5]			
4-17	426-427	.	_	_			

#Text=An alternative concept for microstructure design for improved fatigue strength is demonstrated in this work.
5-1	431-433	An	_	_			
5-2	434-445	alternative	_	_			
5-3	446-453	concept	_	_			
5-4	454-457	for	_	_			
5-5	458-472	microstructure	https://w3id.org/pmd/materials-mechanics-ontology/Microstructure	*			
5-6	473-479	design	_	_			
5-7	480-483	for	_	_			
5-8	484-492	improved	_	_			
5-9	493-500	fatigue	https://w3id.org/pmd/materials-mechanics-ontology/FatigueStrength	*[6]			
5-10	501-509	strength	https://w3id.org/pmd/materials-mechanics-ontology/FatigueStrength	*[6]			
5-11	510-512	is	_	_			
5-12	513-525	demonstrated	_	_			
5-13	526-528	in	_	_			
5-14	529-533	this	_	_			
5-15	534-538	work	_	_			
5-16	538-539	.	_	_			

#Text=Microstructures are designed to exploit the mechanical energy imparted during the initial cycles of fatigue to dynamically heal the inherent weak points in the microstructure.
6-1	543-558	Microstructures	https://w3id.org/pmd/materials-mechanics-ontology/Microstructure	*			
6-2	559-562	are	_	_			
6-3	563-571	designed	_	_			
6-4	572-574	to	_	_			
6-5	575-582	exploit	_	_			
6-6	583-586	the	_	_			
6-7	587-597	mechanical	https://w3id.org/pmd/materials-mechanics-ontology/PhysicalQuantity	*[7]			
6-8	598-604	energy	https://w3id.org/pmd/materials-mechanics-ontology/PhysicalQuantity	*[7]			
6-9	605-613	imparted	_	_			
