#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=Abstract: In this study, we investigate the influence of control type and strain rate on the lifetime of specimens manufactured from 50CrMo4.
7-1	1028-1036	Abstract	_	_			
7-2	1036-1037	:	_	_			
7-3	1038-1040	In	_	_			
7-4	1041-1045	this	_	_			
7-5	1046-1051	study	_	_			
7-6	1051-1052	,	_	_			
7-7	1053-1055	we	_	_			
7-8	1056-1067	investigate	_	_			
7-9	1068-1071	the	_	_			
7-10	1072-1081	influence	_	_			
7-11	1082-1084	of	_	_			
7-12	1085-1092	control	https://w3id.org/pmd/materials-mechanics-ontology/ControlType	*[1]			
7-13	1093-1097	type	https://w3id.org/pmd/materials-mechanics-ontology/ControlType	*[1]			
7-14	1098-1101	and	_	_			
7-15	1102-1108	strain	https://w3id.org/pmd/materials-mechanics-ontology/StrainRate	*[2]			
7-16	1109-1113	rate	https://w3id.org/pmd/materials-mechanics-ontology/StrainRate	*[2]			
7-17	1114-1116	on	_	_			
7-18	1117-1120	the	_	_			
7-19	1121-1129	lifetime	https://w3id.org/pmd/materials-mechanics-ontology/FatigueLifetime	*			
7-20	1130-1132	of	_	_			
7-21	1133-1142	specimens	https://w3id.org/pmd/materials-mechanics-ontology/FatigueTestSpecimen	*			
7-22	1143-1155	manufactured	_	_			
7-23	1156-1160	from	_	_			
7-24	1161-1168	50CrMo4	https://w3id.org/pmd/materials-mechanics-ontology/Alloy	*			
7-25	1168-1169	.	_	_			

#Text=This influence is described by a strain rate dependent method that uses cyclic stress strain curves to correct displacement-controlled cyclic test results.
8-1	1173-1177	This	_	_			
8-2	1178-1187	influence	_	_			
8-3	1188-1190	is	_	_			
8-4	1191-1200	described	_	_			
8-5	1201-1203	by	_	_			
8-6	1204-1205	a	_	_			
8-7	1206-1212	strain	https://w3id.org/pmd/materials-mechanics-ontology/StrainRate	*[3]			
8-8	1213-1217	rate	https://w3id.org/pmd/materials-mechanics-ontology/StrainRate	*[3]			
8-9	1218-1227	dependent	_	_			
8-10	1228-1234	method	https://w3id.org/pmd/materials-mechanics-ontology/DataTransformationProcess	*			
8-11	1235-1239	that	_	_			
8-12	1240-1244	uses	_	_			
8-13	1245-1251	cyclic	https://w3id.org/pmd/materials-mechanics-ontology/MechanicalTestDataSet	*[4]			
8-14	1252-1258	stress	https://w3id.org/pmd/materials-mechanics-ontology/MechanicalTestDataSet	*[4]			
8-15	1259-1265	strain	https://w3id.org/pmd/materials-mechanics-ontology/MechanicalTestDataSet	*[4]			
8-16	1266-1272	curves	https://w3id.org/pmd/materials-mechanics-ontology/MechanicalTestDataSet	*[4]			
8-17	1273-1275	to	_	_			
8-18	1276-1283	correct	_	_			
8-19	1284-1307	displacement-controlled	https://w3id.org/pmd/materials-mechanics-ontology/Displacementcontrolled	*			
8-20	1308-1314	cyclic	https://w3id.org/pmd/materials-mechanics-ontology/MechanicalTestDataSet	*[5]			
8-21	1315-1319	test	https://w3id.org/pmd/materials-mechanics-ontology/MechanicalTestDataSet	*[5]			
8-22	1320-1327	results	https://w3id.org/pmd/materials-mechanics-ontology/MechanicalTestDataSet	*[5]			
8-23	1327-1328	.	_	_			

#Text=The objective of this correction is to eliminate the stress related differences between displacement-controlled cyclic test results and force-controlled cyclic test results.
9-1	1332-1335	The	_	_			
9-2	1336-1345	objective	_	_			
9-3	1346-1348	of	_	_			
9-4	1349-1353	this	_	_			
9-5	1354-1364	correction	https://w3id.org/pmd/materials-mechanics-ontology/DataTransformationProcess	*			
9-6	1365-1367	is	_	_			
9-7	1368-1370	to	_	_			
9-8	1371-1380	eliminate	_	_			
9-9	1381-1384	the	_	_			
9-10	1385-1391	stress	https://w3id.org/pmd/materials-mechanics-ontology/Stress	*			
9-11	1392-1399	related	_	_			
9-12	1400-1411	differences	_	_			
9-13	1412-1419	between	_	_			
9-14	1420-1443	displacement-controlled	https://w3id.org/pmd/materials-mechanics-ontology/Displacementcontrolled	*			
9-15	1444-1450	cyclic	https://w3id.org/pmd/materials-mechanics-ontology/MechanicalTestDataSet	*[6]			
9-16	1451-1455	test	https://w3id.org/pmd/materials-mechanics-ontology/MechanicalTestDataSet	*[6]			
9-17	1456-1463	results	https://w3id.org/pmd/materials-mechanics-ontology/MechanicalTestDataSet	*[6]			
9-18	1464-1467	and	_	_			
9-19	1468-1484	force-controlled	https://w3id.org/pmd/materials-mechanics-ontology/Loadcontrolled	*			
9-20	1485-1491	cyclic	https://w3id.org/pmd/materials-mechanics-ontology/MechanicalTestDataSet	*[7]			
9-21	1492-1496	test	https://w3id.org/pmd/materials-mechanics-ontology/MechanicalTestDataSet	*[7]			
